Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Bahubali: The Beginning,2015,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114,S. S. Rajamouli,Prabhas,Anushka Shetty
Baahubali 2: The Conclusion,2017,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458,S. S. Rajamouli,Prabhas,Anushka Shetty
1 - Nenokkadine,2014,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372,B. Sukumar,Mahesh Babu, Kriti Sanon
Eega,2012,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,7.7,20636,S. S. Rajamouli,Nani, Samantha
Arjun Reddy,2017,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419,Sandeep Reddy Vanga,Vijay Deverakonda, Shalini Pandey
Rangasthalam,2018,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559,B. Sukumar,Ram Charan, Samantha
Magadheera,2009,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,7.6,17542,S. S. Rajamouli,Ram Charan, Kajal Aggarwal
Bharat Ane Nenu,2018,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,7.7,14945,Koratala Shiva,Mahesh Babu, Kiara Advani
Saaho,2019,UA,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",170,5.2,14430,Sujith,Prabhas, Shraddha Kapoor
Dookudu,2011,UA,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",170,7.4,12295,Sreenu Vaitla,Mahesh Babu, Samantha
Pokiri,2006,A,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",164,7.9,12137,Puri Jagannadh,Mahesh Babu, Ileana D'Cruz
Athadu,2005,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,8.2,11459,Trivikram,Mahesh Babu, Trisha Krishnan
The Ghazi Attack,2017,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,7.6,11191,Sankalp Reddy,Rana Daggubati, Taapsee Pannu
Srimanthudu,2015,UA,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",158,7.5,10778,Koratala Shiva,Mahesh Babu, Shruti Haasan
Manam,2014,UA,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives.",163,8,9589,Vikram Kumar,Nagarjuna, Naga Chaitanya
Business Man,2012,A,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,133,7.1,9265,Puri Jagannadh,Mahesh Babu, Kajal Aggarwal
Geetha Govindam,2018,UA,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,142,7.7,8846,Parushuram,Vijay Devarakonda, Rashmika Mandanna
Mahanati,2018,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,8.5,8732,Nag Ashwin,Dulquer Salman, Keethi Suresh
Spyder,2017,UA,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.,155,6.6,8666,A. R Murugadoss,Mahesh Babu, Rakul Preet Singh
Nannaku Prematho,2016,UA,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,168,7.6,8589,B. Sukumar,Jr. NTR, Rakul Preet Singh
Race Gurram,2014,UA,"Action, Comedy            ","    Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way.",163,7.2,8183,Surender Reddy,Allu Arjun, Sruti Haasan
Okkadu,2003,U,"Action, Romance, Sport            ",    A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,170,8,8118,Gunashekar,Mahesh Babu, Bhumika Chawla
Bommarillu,2006,U,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,170,8.2,8111,Bhaskar,Siddarth, Genelia
Atharintiki Daaredi,2013,U,"Comedy, Drama            ",    The scion of a powerful family is tasked with retrieving an estranged family member.,170,7.2,8081,Trivikram,Pawan Kalyan, Samantha
Khaleja,2010,UA,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",170,7.5,7893,Trivikram,Mahesh Babu, Anushka Shetty
Goodachari,2018,UA,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",147,7.8,7120,Sashi Kiran Tikka,Adivi Shesh, Sobhita Dhulipala
Vedam,2010,A,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,135,8.1,6492,Krish Jagarlamudi,Allu Arjun, Anushka Shetty 
Yevadu,2014,A,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",165,5.6,6373,Vamshi Paidipally,Ram Charan, Kajal Aggarwal
Aravindha Sametha Veera Raghava,2018,UA,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,162,7.7,6371,Trivikram,Jr. NTR, Pooja Hegde
Jersey,2019,U,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,8.6,6039,Gowtam Naidu Tinnanuri,Nani, Shraddha Srinath
Sye Raa Narasimha Reddy,2019,UA,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",167,7.5,5848,Surender Reddy,Chiranjeevi, Tamannah
Ala Vaikunthapurramuloo,2020,UA,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,163,7.2,5732,Trivikram,Allu Arjun, Pooja Hegde
Janatha Garage,2016,UA,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,7.3,5562,Koratala Shiva,Jr. NTR, Samantha
Gabbar Singh,2012,UA,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summaryÂ Â»",153,7.1,5550,Harish Shankar,Pawan Kalyan, Shruti Haasan
Temper,2015,UA,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",147,7.4,5524,Puri Jagannadh,Jr. NTR, Kajal Aggarwal
Game Over,2019,UA,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,102,7.1,5418,Ashwin Saravanan,Taapsee Pannu,NA
Singam 2,2013,U,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,166,6.3,5378,Hari,Suriya, Anushka Shetty
Dhruva,2016,UA,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,7.9,5346,Surender Reddy,Ram Charan, Rakul Preet Singh
Jalsa,2008,A,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.,161,7.3,5294,Trivikram,Pawan Kalyan, Ileana D'Cruz
Maharshi,2019,UA,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",176,7.3,5197,Vamshi Paidipally,Mahesh Babu, Pooja Hegde
